 	X	Y
1	1022.667	254.667
2	929.333	224.000
3	817.333	214.667
4	720.000	253.333
5	660.000	349.333
6	622.667	476.000
7	621.333	565.333
8	658.667	649.333
9	718.667	752.000
10	812.000	802.667
11	930.667	817.333
12	1036.000	825.333
13	1212.000	834.667
14	1316.000	802.667
15	1400.000	697.333
16	1440.000	577.333
17	1434.667	465.333
18	1400.000	382.667
19	1346.667	290.667
20	1288.000	241.333
21	1202.667	221.333
22	1146.667	216.000
23	1116.000	213.333
24	1084.000	233.333
