X	Y
21	804.000		117.333
20	572.000		133.333
19	437.333		205.333
18	448.000		316.000
17	501.333		498.667
16	493.333		629.333
15	544.000		762.667
14	673.333		882.667
13	837.333		920.000
12	1001.333	881.333
11	1080.000	885.333
10	1205.333	918.667
9	1398.667	881.333
8	1518.667	754.667
7	1549.333	576.000
6	1545.333	380.000
5	1586.667	217.333
4	1549.333	162.667
3	1490.667	129.333
2	1285.333	121.333
1	1022.667	109.333
